"","Package","LibPath","Version","Priority","Depends","Imports","LinkingTo","Suggests","Enhances","License","License_is_FOSS","License_restricts_use","OS_type","MD5sum","NeedsCompilation","Built"
"gridtext","gridtext","C:/Users/nickd/School/PhD/Reordered_PreLeisH/renv/library/R-4.1/x86_64-w64-mingw32","0.1.4",NA,"R (>= 3.5)","grid, grDevices, markdown, rlang, Rcpp, RCurl, png, jpeg,
stringr, xml2","Rcpp","covr, knitr, rmarkdown, testthat, vdiffr",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.1.3"
"gsl","gsl","C:/Users/nickd/School/PhD/Reordered_PreLeisH/renv/library/R-4.1/x86_64-w64-mingw32","2.1-7.1",NA,"R (>= 3.1.0)",NA,NA,NA,NA,"GPL-3",NA,NA,NA,NA,"yes","4.1.2"
"gtable","gtable","C:/Users/nickd/School/PhD/Reordered_PreLeisH/renv/library/R-4.1/x86_64-w64-mingw32","0.3.0",NA,"R (>= 3.0)","grid",NA,"covr, testthat, knitr, rmarkdown, ggplot2, profvis",NA,"GPL-2",NA,NA,NA,NA,"no","4.1.0"
"gtools","gtools","C:/Users/nickd/School/PhD/Reordered_PreLeisH/renv/library/R-4.1/x86_64-w64-mingw32","3.9.2",NA,"methods, stats, utils",NA,NA,"car, gplots, knitr, rstudioapi, SGP, taxize",NA,"GPL-2",NA,NA,NA,NA,"yes","4.1.0"
"harmony","harmony","C:/Users/nickd/School/PhD/Reordered_PreLeisH/renv/library/R-4.1/x86_64-w64-mingw32","0.1.0",NA,"R(>= 3.4.0), Rcpp","dplyr, cowplot, tidyr, ggplot2, irlba, Matrix, methods,
tibble, rlang, SingleCellExperiment","Rcpp, RcppArmadillo, RcppProgress","Seurat, testthat, knitr, rmarkdown",NA,"GPL-3 + file LICENSE",NA,NA,NA,NA,"yes","4.1.0"
"haven","haven","C:/Users/nickd/School/PhD/Reordered_PreLeisH/renv/library/R-4.1/x86_64-w64-mingw32","2.4.3",NA,"R (>= 3.2)","forcats (>= 0.2.0), hms, methods, readr (>= 0.1.0), rlang (>=
0.4.0), tibble, tidyselect, vctrs (>= 0.3.0)","cpp11","cli, covr, crayon, fs, knitr, pillar (>= 1.4.0), rmarkdown,
testthat (>= 3.0.0)",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.1.0"
"HDInterval","HDInterval","C:/Users/nickd/School/PhD/Reordered_PreLeisH/renv/library/R-4.1/x86_64-w64-mingw32","0.2.2",NA,NA,NA,NA,"coda",NA,"GPL-3",NA,NA,NA,NA,"no","4.1.1"
"here","here","C:/Users/nickd/School/PhD/Reordered_PreLeisH/renv/library/R-4.1/x86_64-w64-mingw32","1.0.1",NA,NA,"rprojroot (>= 2.0.2)",NA,"conflicted, covr, fs, knitr, palmerpenguins, plyr, readr,
rlang, rmarkdown, testthat, uuid, withr",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.1.0"
"hexbin","hexbin","C:/Users/nickd/School/PhD/Reordered_PreLeisH/renv/library/R-4.1/x86_64-w64-mingw32","1.28.2",NA,"R (>= 2.0.1), methods","lattice, grid, graphics, grDevices, stats, utils",NA,"marray, affy, Biobase, limma, knitr",NA,"GPL-2",NA,NA,NA,NA,"yes","4.1.0"
"highr","highr","C:/Users/nickd/School/PhD/Reordered_PreLeisH/renv/library/R-4.1/x86_64-w64-mingw32","0.9",NA,"R (>= 3.2.3)","xfun (>= 0.18)",NA,"knitr, markdown, testit",NA,"GPL",NA,NA,NA,NA,"no","4.1.0"
"hms","hms","C:/Users/nickd/School/PhD/Reordered_PreLeisH/renv/library/R-4.1/x86_64-w64-mingw32","1.1.1",NA,NA,"ellipsis (>= 0.3.2), lifecycle, methods, pkgconfig, rlang,
vctrs (>= 0.3.8)",NA,"crayon, lubridate, pillar (>= 1.1.0), testthat (>= 3.0.0)",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.1.1"
"hrbrthemes","hrbrthemes","C:/Users/nickd/School/PhD/Reordered_PreLeisH/renv/library/R-4.1/x86_64-w64-mingw32","0.8.0",NA,"R (>= 3.4.0)","ggplot2 (>= 3.3.0), grDevices, grid, scales, extrafont, knitr,
rmarkdown, htmltools, tools, magrittr, gdtools",NA,"testthat, dplyr, gridExtra, hunspell, stringi, gcookbook,
clipr, vdiffr, svglite",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.1.0"
"htmltools","htmltools","C:/Users/nickd/School/PhD/Reordered_PreLeisH/renv/library/R-4.1/x86_64-w64-mingw32","0.5.2",NA,"R (>= 2.14.1)","utils, digest, grDevices, base64enc, rlang (>= 0.4.10),
fastmap",NA,"markdown, testthat, withr, Cairo, ragg, shiny","knitr","GPL (>= 2)",NA,NA,NA,NA,"yes","4.1.1"
"htmlwidgets","htmlwidgets","C:/Users/nickd/School/PhD/Reordered_PreLeisH/renv/library/R-4.1/x86_64-w64-mingw32","1.5.4",NA,NA,"grDevices, htmltools (>= 0.3), jsonlite (>= 0.9.16), yaml",NA,"knitr (>= 1.8), rmarkdown, testthat","shiny (>= 1.1)","MIT + file LICENSE",NA,NA,NA,NA,"no","4.1.1"
"httpuv","httpuv","C:/Users/nickd/School/PhD/Reordered_PreLeisH/renv/library/R-4.1/x86_64-w64-mingw32","1.6.5",NA,"R (>= 2.15.1)","Rcpp (>= 1.0.7), utils, R6, promises, later (>= 0.8.0)","Rcpp, later","testthat, callr, curl, websocket",NA,"GPL (>= 2) | file LICENSE",NA,NA,NA,NA,"yes","4.1.3"
"httr","httr","C:/Users/nickd/School/PhD/Reordered_PreLeisH/renv/library/R-4.1/x86_64-w64-mingw32","1.4.2",NA,"R (>= 3.2)","curl (>= 3.0.0), jsonlite, mime, openssl (>= 0.8), R6",NA,"covr, httpuv, jpeg, knitr, png, readr, rmarkdown, testthat
(>= 0.8.0), xml2",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.1.0"
"ica","ica","C:/Users/nickd/School/PhD/Reordered_PreLeisH/renv/library/R-4.1/x86_64-w64-mingw32","1.0-2",NA,NA,NA,NA,NA,NA,"GPL (>= 2)",NA,NA,NA,NA,"no","4.1.0"
"ids","ids","C:/Users/nickd/School/PhD/Reordered_PreLeisH/renv/library/R-4.1/x86_64-w64-mingw32","1.0.1",NA,NA,"openssl, uuid",NA,"knitr, rcorpora, rmarkdown, testthat",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.1.1"
"igraph","igraph","C:/Users/nickd/School/PhD/Reordered_PreLeisH/renv/library/R-4.1/x86_64-w64-mingw32","1.3.0",NA,"methods","graphics, grDevices, magrittr, Matrix, pkgconfig (>= 2.0.0),
stats, utils",NA,"ape, graph, igraphdata, rgl, scales, stats4, tcltk, testthat,
withr, digest",NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.1.3"
"interactiveDisplayBase","interactiveDisplayBase","C:/Users/nickd/School/PhD/Reordered_PreLeisH/renv/library/R-4.1/x86_64-w64-mingw32","1.32.0",NA,"R (>= 2.10), methods, BiocGenerics","shiny, DT",NA,"knitr, markdown","rstudioapi","Artistic-2.0",NA,NA,NA,NA,"no","4.1.1"
"ipred","ipred","C:/Users/nickd/School/PhD/Reordered_PreLeisH/renv/library/R-4.1/x86_64-w64-mingw32","0.9-12",NA,"R (>= 2.10)","rpart (>= 3.1-8), MASS, survival, nnet, class, prodlim",NA,"mvtnorm, mlbench, TH.data, randomForest, party",NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.1.1"
"IRanges","IRanges","C:/Users/nickd/School/PhD/Reordered_PreLeisH/renv/library/R-4.1/x86_64-w64-mingw32","2.26.0",NA,"R (>= 4.0.0), methods, utils, stats, BiocGenerics (>= 0.37.0),
S4Vectors (>= 0.29.19)","stats4","S4Vectors","XVector, GenomicRanges, Rsamtools, GenomicAlignments,
GenomicFeatures, BSgenome.Celegans.UCSC.ce2, pasillaBamSubset,
RUnit, BiocStyle",NA,"Artistic-2.0",NA,NA,NA,NA,"yes","4.1.0"
"irlba","irlba","C:/Users/nickd/School/PhD/Reordered_PreLeisH/renv/library/R-4.1/x86_64-w64-mingw32","2.3.5",NA,"R (>= 3.6.2), Matrix","stats, methods","Matrix",NA,NA,"GPL-3",NA,NA,NA,NA,"yes","4.1.3"
"isoband","isoband","C:/Users/nickd/School/PhD/Reordered_PreLeisH/renv/library/R-4.1/x86_64-w64-mingw32","0.2.5",NA,NA,"grid, utils",NA,"covr, ggplot2, knitr, magick, microbenchmark, rmarkdown, sf,
testthat, xml2",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.1.0"
"iterators","iterators","C:/Users/nickd/School/PhD/Reordered_PreLeisH/renv/library/R-4.1/x86_64-w64-mingw32","1.0.14",NA,"R (>= 2.5.0), utils",NA,NA,"RUnit, foreach",NA,"Apache License (== 2.0)",NA,NA,NA,NA,"no","4.1.3"
"jpeg","jpeg","C:/Users/nickd/School/PhD/Reordered_PreLeisH/renv/library/R-4.1/x86_64-w64-mingw32","0.1-9",NA,"R (>= 2.9.0)",NA,NA,NA,NA,"GPL-2 | GPL-3",NA,NA,NA,NA,"yes","4.1.0"
"jquerylib","jquerylib","C:/Users/nickd/School/PhD/Reordered_PreLeisH/renv/library/R-4.1/x86_64-w64-mingw32","0.1.4",NA,NA,"htmltools",NA,"testthat",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.1.0"
"jsonlite","jsonlite","C:/Users/nickd/School/PhD/Reordered_PreLeisH/renv/library/R-4.1/x86_64-w64-mingw32","1.8.0",NA,"methods",NA,NA,"httr, curl, vctrs, testthat, knitr, rmarkdown, R.rsp, sf",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.1.3"
"kableExtra","kableExtra","C:/Users/nickd/School/PhD/Reordered_PreLeisH/renv/library/R-4.1/x86_64-w64-mingw32","1.3.4",NA,"R (>= 3.1.0)","knitr (>= 1.16), magrittr, stringr (>= 1.0), xml2 (>= 1.1.1),
rvest, rmarkdown (>= 1.6.0), scales, viridisLite, stats,
grDevices, htmltools, rstudioapi, glue, tools, webshot, digest,
graphics, svglite",NA,"testthat, magick, formattable, sparkline",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.1.0"
"KEGGREST","KEGGREST","C:/Users/nickd/School/PhD/Reordered_PreLeisH/renv/library/R-4.1/x86_64-w64-mingw32","1.34.0",NA,"R (>= 3.5.0)","methods, httr, png, Biostrings",NA,"RUnit, BiocGenerics, knitr, markdown",NA,"Artistic-2.0",NA,NA,NA,NA,"no","4.1.1"
"KernSmooth","KernSmooth","C:/Users/nickd/School/PhD/Reordered_PreLeisH/renv/library/R-4.1/x86_64-w64-mingw32","2.23-20","recommended","R (>= 2.5.0), stats",NA,NA,"MASS, carData",NA,"Unlimited",NA,NA,NA,NA,"yes","4.1.1"
"knitr","knitr","C:/Users/nickd/School/PhD/Reordered_PreLeisH/renv/library/R-4.1/x86_64-w64-mingw32","1.38",NA,"R (>= 3.3.0)","evaluate (>= 0.15), highr, methods, stringr (>= 0.6), yaml (>=
2.1.19), xfun (>= 0.29), tools",NA,"markdown, formatR, testit, digest, rgl (>= 0.95.1201),
codetools, rmarkdown, htmlwidgets (>= 0.7), webshot, tikzDevice
(>= 0.10), tinytex, reticulate (>= 1.4), JuliaCall (>= 0.11.1),
magick, png, jpeg, gifski, xml2 (>= 1.2.0), httr, DBI (>=
0.4-1), showtext, tibble, sass, bslib, ragg, styler (>= 1.2.0),
targets (>= 0.6.0)",NA,"GPL",NA,NA,NA,NA,"no","4.1.3"
"labeling","labeling","C:/Users/nickd/School/PhD/Reordered_PreLeisH/renv/library/R-4.1/x86_64-w64-mingw32","0.4.2",NA,NA,"stats, graphics",NA,NA,NA,"MIT + file LICENSE | Unlimited",NA,NA,NA,NA,"no","4.1.0"
"lambda.r","lambda.r","C:/Users/nickd/School/PhD/Reordered_PreLeisH/renv/library/R-4.1/x86_64-w64-mingw32","1.2.4",NA,"R (>= 3.0.0)","formatR",NA,"testit",NA,"LGPL-3",NA,NA,NA,NA,"no","4.1.0"
"later","later","C:/Users/nickd/School/PhD/Reordered_PreLeisH/renv/library/R-4.1/x86_64-w64-mingw32","1.3.0",NA,NA,"Rcpp (>= 0.12.9), rlang","Rcpp","knitr, rmarkdown, testthat (>= 2.1.0)",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.1.1"
"lattice","lattice","C:/Users/nickd/School/PhD/Reordered_PreLeisH/renv/library/R-4.1/x86_64-w64-mingw32","0.20-44","recommended","R (>= 3.0.0)","grid, grDevices, graphics, stats, utils",NA,"KernSmooth, MASS, latticeExtra","chron","GPL (>= 2)",NA,NA,NA,NA,"yes","4.1.1"
"lava","lava","C:/Users/nickd/School/PhD/Reordered_PreLeisH/renv/library/R-4.1/x86_64-w64-mingw32","1.6.10",NA,"R (>= 3.0)","future.apply, progressr, grDevices, graphics, methods,
numDeriv, stats, survival, SQUAREM, utils",NA,"KernSmooth, Matrix, Rgraphviz, data.table, ellipse, fields,
geepack, gof (>= 0.9), graph, knitr, bookdown, rmarkdown,
igraph (>= 0.6), lava.tobit (>= 0.4.7), lavaSearch2, lme4,
magrittr, mets (>= 1.1), nlme, optimx, polycor, quantreg, rgl,
R.rsp (>= 0.40), testthat (>= 0.11), visNetwork, zoo",NA,"GPL-3",NA,NA,NA,NA,"no","4.1.1"
"lazyeval","lazyeval","C:/Users/nickd/School/PhD/Reordered_PreLeisH/renv/library/R-4.1/x86_64-w64-mingw32","0.2.2",NA,"R (>= 3.1.0)",NA,NA,"knitr, rmarkdown (>= 0.2.65), testthat, covr",NA,"GPL-3",NA,NA,NA,NA,"yes","4.1.0"
"leiden","leiden","C:/Users/nickd/School/PhD/Reordered_PreLeisH/renv/library/R-4.1/x86_64-w64-mingw32","0.3.9",NA,NA,"methods, reticulate, Matrix, igraph",NA,"bipartite, covr, data.table, devtools, graphsim, knitr,
multiplex, multinet, markdown, network, RColorBrewer,
rmarkdown, spelling, testthat, tibble",NA,"GPL-3 | file LICENSE",NA,NA,NA,NA,"no","4.1.0"
"lifecycle","lifecycle","C:/Users/nickd/School/PhD/Reordered_PreLeisH/renv/library/R-4.1/x86_64-w64-mingw32","1.0.1",NA,"R (>= 3.3)","glue, rlang (>= 0.4.10)",NA,"covr, crayon, lintr, tidyverse, knitr, rmarkdown, testthat
(>= 3.0.1), tools, tibble, vctrs",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.1.1"
"listenv","listenv","C:/Users/nickd/School/PhD/Reordered_PreLeisH/renv/library/R-4.1/x86_64-w64-mingw32","0.8.0",NA,"R (>= 3.1.2)",NA,NA,"R.utils, R.rsp, markdown",NA,"LGPL (>= 2.1)",NA,NA,NA,NA,"no","4.1.0"
"lme4","lme4","C:/Users/nickd/School/PhD/Reordered_PreLeisH/renv/library/R-4.1/x86_64-w64-mingw32","1.1-27.1",NA,"R (>= 3.2.0), Matrix (>= 1.2-1), methods, stats","graphics, grid, splines, utils, parallel, MASS, lattice, boot,
nlme (>= 3.1-123), minqa (>= 1.1.15), nloptr (>= 1.0.4)","Rcpp (>= 0.10.5), RcppEigen","knitr, rmarkdown, PKPDmodels, MEMSS, testthat (>= 0.8.1),
ggplot2, mlmRev, optimx (>= 2013.8.6), gamm4, pbkrtest, HSAUR3,
numDeriv, car, dfoptim, mgcv, statmod, rr2, semEff",NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.1.0"
"lmerTest","lmerTest","C:/Users/nickd/School/PhD/Reordered_PreLeisH/renv/library/R-4.1/x86_64-w64-mingw32","3.1-3",NA,"R (>= 3.2.5), lme4 (>= 1.1-10), stats, methods","numDeriv, MASS, ggplot2",NA,"pbkrtest (>= 0.4-3), tools",NA,"GPL (>= 2)",NA,NA,NA,NA,"no","4.1.1"
"lmtest","lmtest","C:/Users/nickd/School/PhD/Reordered_PreLeisH/renv/library/R-4.1/x86_64-w64-mingw32","0.9-40",NA,"R (>= 3.0.0), stats, zoo","graphics",NA,"car, strucchange, sandwich, dynlm, stats4, survival, AER",NA,"GPL-2 | GPL-3",NA,NA,NA,NA,"yes","4.1.3"
"lubridate","lubridate","C:/Users/nickd/School/PhD/Reordered_PreLeisH/renv/library/R-4.1/x86_64-w64-mingw32","1.8.0",NA,"methods, R (>= 3.2)","generics","cpp11 (>= 0.2.7)","covr, knitr, testthat (>= 2.1.0), vctrs (>= 0.3.0), rmarkdown","chron, timeDate, tis, zoo","GPL (>= 2)",NA,NA,NA,NA,"yes","4.1.0"
"magrittr","magrittr","C:/Users/nickd/School/PhD/Reordered_PreLeisH/renv/library/R-4.1/x86_64-w64-mingw32","2.0.1",NA,NA,NA,NA,"covr, knitr, rlang, rmarkdown, testthat",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.1.0"
"maptools","maptools","C:/Users/nickd/School/PhD/Reordered_PreLeisH/renv/library/R-4.1/x86_64-w64-mingw32","1.1-2",NA,"R (>= 2.10), sp (>= 1.0-11)","foreign (>= 0.8), methods, grid, lattice, stats, utils,
grDevices",NA,"rgeos (>= 0.1-8), spatstat.geom (>= 1.65-0), PBSmapping,
maps, RColorBrewer, raster, polyclip, plotrix, spatstat.linnet
(>= 1.65-3), spatstat.utils (>= 1.19.0), spatstat (>= 2.0-0)","gpclib","GPL (>= 2)",NA,NA,NA,NA,"yes","4.1.1"
"markdown","markdown","C:/Users/nickd/School/PhD/Reordered_PreLeisH/renv/library/R-4.1/x86_64-w64-mingw32","1.1",NA,"R (>= 2.11.1)","utils, xfun, mime (>= 0.3)",NA,"knitr, RCurl",NA,"GPL-2",NA,NA,NA,NA,"yes","4.1.0"
"MASS","MASS","C:/Users/nickd/School/PhD/Reordered_PreLeisH/renv/library/R-4.1/x86_64-w64-mingw32","7.3-54","recommended","R (>= 3.3.0), grDevices, graphics, stats, utils","methods",NA,"lattice, nlme, nnet, survival",NA,"GPL-2 | GPL-3",NA,NA,NA,NA,"yes","4.1.1"
"Matrix","Matrix","C:/Users/nickd/School/PhD/Reordered_PreLeisH/renv/library/R-4.1/x86_64-w64-mingw32","1.3-4","recommended","R (>= 3.5.0)","methods, graphics, grid, stats, utils, lattice",NA,"expm, MASS","MatrixModels, graph, SparseM, sfsmisc, igraph, maptools, sp,
spdep","GPL (>= 2) | file LICENCE",NA,NA,NA,NA,"yes","4.1.0"
"MatrixGenerics","MatrixGenerics","C:/Users/nickd/School/PhD/Reordered_PreLeisH/renv/library/R-4.1/x86_64-w64-mingw32","1.6.0",NA,"matrixStats (>= 0.60.1)","methods",NA,"sparseMatrixStats, DelayedMatrixStats, SummarizedExperiment,
testthat (>= 2.1.0)",NA,"Artistic-2.0",NA,NA,NA,NA,"no","4.1.1"
"MatrixModels","MatrixModels","C:/Users/nickd/School/PhD/Reordered_PreLeisH/renv/library/R-4.1/x86_64-w64-mingw32","0.5-0",NA,"R (>= 3.0.1)","stats, methods, Matrix (>= 1.1-5)",NA,NA,NA,"GPL (>= 2)",NA,NA,NA,NA,"no","4.1.0"
"matrixStats","matrixStats","C:/Users/nickd/School/PhD/Reordered_PreLeisH/renv/library/R-4.1/x86_64-w64-mingw32","0.61.0",NA,"R (>= 2.12.0)",NA,NA,"base64enc, ggplot2, knitr, markdown, microbenchmark,
R.devices, R.rsp",NA,"Artistic-2.0",NA,NA,NA,NA,"yes","4.1.1"
"memoise","memoise","C:/Users/nickd/School/PhD/Reordered_PreLeisH/renv/library/R-4.1/x86_64-w64-mingw32","2.0.1",NA,NA,"rlang (>= 0.4.10), cachem",NA,"digest, aws.s3, covr, googleAuthR, googleCloudStorageR, httr,
testthat",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.1.3"
"mgcv","mgcv","C:/Users/nickd/School/PhD/Reordered_PreLeisH/renv/library/R-4.1/x86_64-w64-mingw32","1.8-40","recommended","R (>= 3.6.0), nlme (>= 3.1-64)","methods, stats, graphics, Matrix, splines, utils",NA,"parallel, survival, MASS",NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.1.3"
"mime","mime","C:/Users/nickd/School/PhD/Reordered_PreLeisH/renv/library/R-4.1/x86_64-w64-mingw32","0.12",NA,NA,"tools",NA,NA,NA,"GPL",NA,NA,NA,NA,"yes","4.1.1"
"miniUI","miniUI","C:/Users/nickd/School/PhD/Reordered_PreLeisH/renv/library/R-4.1/x86_64-w64-mingw32","0.1.1.1",NA,NA,"shiny (>= 0.13), htmltools (>= 0.3), utils",NA,NA,NA,"GPL-3",NA,NA,NA,NA,"no","4.1.0"
"minqa","minqa","C:/Users/nickd/School/PhD/Reordered_PreLeisH/renv/library/R-4.1/x86_64-w64-mingw32","1.2.4",NA,NA,"Rcpp (>= 0.9.10)","Rcpp",NA,NA,"GPL-2",NA,NA,NA,NA,"yes","4.1.0"
"ModelMetrics","ModelMetrics","C:/Users/nickd/School/PhD/Reordered_PreLeisH/renv/library/R-4.1/x86_64-w64-mingw32","1.2.2.2",NA,"R (>= 3.2.2)","Rcpp, data.table","Rcpp","testthat",NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.1.1"
"modelr","modelr","C:/Users/nickd/School/PhD/Reordered_PreLeisH/renv/library/R-4.1/x86_64-w64-mingw32","0.1.8",NA,"R (>= 3.2)","broom, magrittr, purrr (>= 0.2.2), rlang (>= 0.2.0), tibble,
tidyr (>= 0.8.0), tidyselect, vctrs",NA,"compiler, covr, ggplot2, testthat",NA,"GPL-3",NA,NA,NA,NA,"no","4.1.1"
"msigdbr","msigdbr","C:/Users/nickd/School/PhD/Reordered_PreLeisH/renv/library/R-4.1/x86_64-w64-mingw32","7.4.1",NA,"R (>= 3.3.0)","babelgene, dplyr (>= 0.7.0), magrittr, rlang, tibble,
tidyselect",NA,"knitr, rmarkdown, testthat",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.1.0"
"munsell","munsell","C:/Users/nickd/School/PhD/Reordered_PreLeisH/renv/library/R-4.1/x86_64-w64-mingw32","0.5.0",NA,NA,"colorspace, methods",NA,"ggplot2, testthat",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.1.0"
"naturalsort","naturalsort","C:/Users/nickd/School/PhD/Reordered_PreLeisH/renv/library/R-4.1/x86_64-w64-mingw32","0.1.3",NA,NA,NA,NA,"testthat",NA,"BSD_3_clause + file LICENSE",NA,NA,NA,NA,"no","4.1.0"
"nlme","nlme","C:/Users/nickd/School/PhD/Reordered_PreLeisH/renv/library/R-4.1/x86_64-w64-mingw32","3.1-152","recommended","R (>= 3.4.0)","graphics, stats, utils, lattice",NA,"Hmisc, MASS",NA,"GPL (>= 2) | file LICENCE",NA,NA,NA,NA,"yes","4.1.1"
"nloptr","nloptr","C:/Users/nickd/School/PhD/Reordered_PreLeisH/renv/library/R-4.1/x86_64-w64-mingw32","1.2.2.2",NA,NA,NA,NA,"testthat (>= 0.8.1), knitr, rmarkdown, inline (>= 0.3.14)",NA,"LGPL-3",NA,NA,NA,NA,"yes","4.1.1"
"nnet","nnet","C:/Users/nickd/School/PhD/Reordered_PreLeisH/renv/library/R-4.1/x86_64-w64-mingw32","7.3-16","recommended","R (>= 3.0.0), stats, utils",NA,NA,"MASS",NA,"GPL-2 | GPL-3",NA,NA,NA,NA,"yes","4.1.1"
"numDeriv","numDeriv","C:/Users/nickd/School/PhD/Reordered_PreLeisH/renv/library/R-4.1/x86_64-w64-mingw32","2016.8-1.1",NA,"R (>= 2.11.1)",NA,NA,NA,NA,"GPL-2",NA,NA,NA,NA,"no","4.1.0"
"openssl","openssl","C:/Users/nickd/School/PhD/Reordered_PreLeisH/renv/library/R-4.1/x86_64-w64-mingw32","2.0.0",NA,NA,"askpass",NA,"curl, testthat (>= 2.1.0), digest, knitr, rmarkdown,
jsonlite, jose, sodium",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.1.3"
"org.Hs.eg.db","org.Hs.eg.db","C:/Users/nickd/School/PhD/Reordered_PreLeisH/renv/library/R-4.1/x86_64-w64-mingw32","3.14.0",NA,"R (>= 2.7.0), methods, AnnotationDbi (>= 1.55.1)",NA,NA,"DBI, annotate, RUnit",NA,"Artistic-2.0",NA,NA,NA,NA,"no","4.1.1"
"parallelly","parallelly","C:/Users/nickd/School/PhD/Reordered_PreLeisH/renv/library/R-4.1/x86_64-w64-mingw32","1.31.0",NA,NA,"parallel, tools, utils",NA,NA,NA,"LGPL (>= 2.1)",NA,NA,NA,NA,"no","4.1.3"
"patchwork","patchwork","C:/Users/nickd/School/PhD/Reordered_PreLeisH/renv/library/R-4.1/x86_64-w64-mingw32","1.1.1",NA,NA,"ggplot2 (>= 3.0.0), gtable, grid, stats, grDevices, utils,
graphics",NA,"knitr, rmarkdown, gridGraphics, gridExtra, ragg, testthat (>=
2.1.0), vdiffr, covr, png",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.1.0"
"pbapply","pbapply","C:/Users/nickd/School/PhD/Reordered_PreLeisH/renv/library/R-4.1/x86_64-w64-mingw32","1.5-0",NA,"R (>= 3.2.0)","parallel",NA,"shiny",NA,"GPL-2",NA,NA,NA,NA,"no","4.1.1"
"pbkrtest","pbkrtest","C:/Users/nickd/School/PhD/Reordered_PreLeisH/renv/library/R-4.1/x86_64-w64-mingw32","0.5.1",NA,"R (>= 3.5.0), lme4 (>= 1.1.10)","broom, dplyr, magrittr, MASS, Matrix (>= 1.2.3), methods,
numDeriv, parallel, knitr",NA,NA,NA,"GPL (>= 2)",NA,NA,NA,NA,"no","4.1.0"
"permute","permute","C:/Users/nickd/School/PhD/Reordered_PreLeisH/renv/library/R-4.1/x86_64-w64-mingw32","0.9-7",NA,"R (>= 2.14.0)","stats",NA,"vegan (>= 2.0-0), testthat (>= 0.5), parallel, knitr,
rmarkdown, bookdown, sessioninfo",NA,"GPL-2",NA,NA,NA,NA,"no","4.1.3"
"pheatmap","pheatmap","C:/Users/nickd/School/PhD/Reordered_PreLeisH/renv/library/R-4.1/x86_64-w64-mingw32","1.0.12",NA,"R (>= 2.0)","grid, RColorBrewer, scales, gtable, stats, grDevices, graphics",NA,NA,NA,"GPL-2",NA,NA,NA,NA,"no","4.1.0"
"pillar","pillar","C:/Users/nickd/School/PhD/Reordered_PreLeisH/renv/library/R-4.1/x86_64-w64-mingw32","1.7.0",NA,NA,"cli (>= 2.3.0), crayon (>= 1.3.4), ellipsis (>= 0.3.2), fansi,
glue, lifecycle, rlang (>= 0.3.0), utf8 (>= 1.1.0), utils,
vctrs (>= 0.3.8)",NA,"bit64, debugme, DiagrammeR, dplyr, formattable, ggplot2,
knitr, lubridate, nanotime, nycflights13, palmerpenguins,
rmarkdown, scales, stringi, survival, testthat (>= 3.1.1),
tibble, units (>= 0.7.2), vdiffr, withr",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.1.3"
"pkgconfig","pkgconfig","C:/Users/nickd/School/PhD/Reordered_PreLeisH/renv/library/R-4.1/x86_64-w64-mingw32","2.0.3",NA,NA,"utils",NA,"covr, testthat, disposables (>= 1.0.3)",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.1.0"
"plogr","plogr","C:/Users/nickd/School/PhD/Reordered_PreLeisH/renv/library/R-4.1/x86_64-w64-mingw32","0.2.0",NA,NA,NA,NA,"Rcpp",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.1.0"
